Category,Feature,Description,Suggested tier,Sell as,Notes
Tour building,360 panorama tour editor,"Create a virtual tour from equirectangular 360 photos with unlimited scenes",Starter,Core,Foundation feature
Tour building,Flat / photo scenes,"Non-panoramic scenes for menus, product cards, dashboards",Starter,Core,
Tour building,Scene folders / grouping,"Organize scenes into collapsible folders",Solo Pro,Core,QOL for medium+ tours
Tour building,Scene reordering + thumbnails,"Drag-drop reorder in the scene strip",Starter,Core,
Tour building,Custom initial view (yaw/pitch),"Set the exact angle a scene opens at",Starter,Core,
Tour building,Camera limits,"Restrict how far a visitor can pan / tilt per scene",Solo Pro,Core,
Tour building,Level correction (horizon roll),"Rotate the whole panorama to fix a tilted horizon",Solo Pro,Core,
Tour building,Zoom controls,"Per-scene min / max FOV + sensitivity",Solo Pro,Core,
Tour building,Hide stitching seam,"Feather the equirectangular seam so it disappears",Solo Pro,Core,
Tour building,Hide tripod nadir,"Color-matched disc that hides the tripod / selfie stick shadow",Solo Pro,Core,
Tour building,Nadir patch image,"Circular logo / graphic at the south pole",Team,Branding,
Tour building,Mirrored mode,"Flip the world (for cameras that captured inverted panoramas)",Starter,Core,
Scene editing,Photoshop-style Edit tab,"Live color-grade the scene: exposure, contrast, saturation, warmth, tint, blur, vignette",Solo Pro,Premium,
Scene editing,9 built-in presets,"Vivid / Warm / Cool / Cinematic / HDR Pop / B&W / Soft / Bright & Clean",Solo Pro,Premium,
Scene editing,Graduated color wash,"Overlay a colour gradient (deepen a washed-out sky etc.)",Solo Pro,Premium,
Scene editing,Apply-to-all-scenes,"Push one grade across every scene in the tour",Solo Pro,Premium,
Hotspots - types,Icon hotspot (built-in library),"Standard clickable marker with 100+ icons",Starter,Core,
Hotspots - types,Custom uploaded icons,"Upload PNG/SVG; saved to asset library forever",Solo Pro,Core,
Hotspots - types,Image hotspot (card popup),"Blue circle that morphs into a photo card",Solo Pro,Core,
Hotspots - types,Text / label hotspot,"Floating text label, styled",Starter,Core,
Hotspots - types,Info hotspot (popup),"i-in-circle marker opens a titled info card",Starter,Core,
Hotspots - types,Video hotspot (YouTube + upload),"Inline video card or modal, YouTube auto-thumbnail",Solo Pro,Core,
Hotspots - types,Audio / voice-over hotspot,"Click to open a floating audio player",Solo Pro,Core,
Hotspots - types,PDF hotspot,"Attach a downloadable spec sheet / brochure",Solo Pro,Core,
Hotspots - types,Person tag,"Pulsing dot expanding to a name pill for a person",Team,Premium,
Hotspots - types,Polygon hotspot,"Trace an outline around a real object; supports image/video overlay",Team,Premium,
Hotspots - types,Navigation hotspot,"Click to jump to another scene",Starter,Core,
Hotspots - types,3D overlay modes (surface/wall/floor),"Project an image/icon onto the panorama's geometry",Team,Premium,
Hotspots - styling,Colour / size / rotation / opacity / tint,"Per-hotspot visual controls",Starter,Core,
Hotspots - styling,Label typography,"Font / color / size / bold / background",Solo Pro,Core,
Hotspots - styling,Label position (top/bottom/left/right),"Where the label sits relative to the icon",Solo Pro,Core,
Hotspots - styling,Sound effect on interaction,"Play a click / chime when tapped",Solo Pro,Premium,
Hotspots - styling,Micro-interactions,"Breathing pulse / hover magnify / ripple / hover card (tour-wide toggles)",Solo Pro,Premium,
Hotspots - styling,Hover preview card size slider,"Scale nav / video preview cards tour-wide",Solo Pro,Premium,
Hotspots - editor QoL,Master hotspot (appears in all scenes),"Persistent logo / info that follows the viewer",Team,Core,
Hotspots - editor QoL,Master hotspot scene allowlist,"Show only in named scenes",Team,Core,
Hotspots - editor QoL,Sticky style (auto-inherit last style),"Next hotspot copies the previous one",Solo Pro,QOL,
Hotspots - editor QoL,Manual copy / paste style,"Pick which style attributes to copy",Solo Pro,QOL,
Hotspots - editor QoL,Select-all + bulk edit,"Change size / icon / colour of every hotspot at once",Team,QOL,
Hotspots - editor QoL,Magnetic alignment snap + guides,"Icon and label centres snap to other hotspots when placing",Team,Premium,
Transitions,Fade / Zoom / Slide / Street View / Instant,"Basic scene-swap effects",Starter,Core,
Transitions,Warp - cinematic tunnel-through,"Real 3D fly-through with dolly + FOV whip",Solo Pro,Premium,
Transitions,Warp + Blur variant,"Warp fly-through with animated motion blur",Team,Premium,
Transitions,Dissolve - cinematic soft cross-dissolve,"Film-style luminance-lift dissolve",Solo Pro,Premium,
Viewer experience,Camera momentum / inertia,"iOS-style throw + ease-to-stop on drag release",Solo Pro,Premium,
Viewer experience,Idle showcase spin (attract mode),"Slow turntable rotation after inactivity",Team,Premium,
Viewer experience,Auto-tour walkthrough,"Auto-play through every scene with camera rotation",Solo Pro,Core,
Viewer experience,Auto-tour showcase hotspots,"Time-based hotspot reveals during auto-tour",Team,Premium,
Viewer experience,Glass viewer UI (title / pill / rail),"Premium light-glass UI: title chip, control pill, pinnable scene rail",Solo Pro,Core,
Viewer experience,Fullscreen mode,"Full-window presentation",Starter,Core,
Viewer experience,Hide scene strip toggle,"Declutter for a full-canvas presentation",Solo Pro,QOL,
Multi-language,AI translate to N languages,"Auto-translate all hotspot / scene copy",Team,Premium,Add-on eligible
Multi-language,Extra languages beyond 1,"Charge per additional language pack",Add-on,Add-on,
Multi-language,Language picker in viewer,"Visitor switches language on the fly",Team,Core,
Multi-language,Live subtitles for ambient audio,"Real-time captions with style controls",Team,Premium,
Menus & navigation,Scene index menu (glass pinnable rail),"Docked left/right, pinnable, persisted per viewer",Solo Pro,Core,
Menus & navigation,Menu builder wizard,"Bulk-create nav hotspots on a flat dashboard scene",Team,Premium,
Assets,Asset library / folders per tour,"Reusable image / icon library",Solo Pro,QOL,
Assets,Recent uploads,"Quick access to last-used assets",Starter,QOL,
Assets,Persistent icon library,"Uploaded icons saved org-wide forever",Solo Pro,QOL,
Sharing / access,Public tour URL,"Anyone with the link can view",Starter,Core,
Sharing / access,Unlisted with optional password,"Link-only + shared password gate",Solo Pro,Core,
Sharing / access,Private tour,"Signed-in org members only",Team,Core,
